,tweet_id,text,favorite_count,retweet_count,created_at
0,1287399593169137664,"RT @IamRiteshTiwari: On his #MannKiBaat address today, @PMOIndia @narendramodi, reminded us that we have to keep fighting the COVID-19 glob…",0,6,Sun Jul 26 14:49:16 +0000 2020
1,1287399501875929088,"RT @iakshaysinghel: Didi always says that we are much better than Modi-Shah Gujarat.

Congratulations @MamataOfficial You have crossed Guja…",0,11,Sun Jul 26 14:48:54 +0000 2020
2,1287399267280097280,"RT @iakshaysinghel: Didi always says that we are much better than Modi-Shah Gujarat.

Congratulations @MamataOfficial You have crossed Guja…",0,11,Sun Jul 26 14:47:58 +0000 2020
3,1287399227929137155,"RT @IamRiteshTiwari: On his #MannKiBaat address today, @PMOIndia @narendramodi, reminded us that we have to keep fighting the COVID-19 glob…",0,6,Sun Jul 26 14:47:49 +0000 2020
4,1287399030473932806,RT @PawanFca: Please extend the date of AGM of corporates from 30th September to 31st December in the pandemic Covid 19,0,8,Sun Jul 26 14:47:02 +0000 2020
5,1287398765842685954,"RT @iakshaysinghel: Didi always says that we are much better than Modi-Shah Gujarat.

Congratulations @MamataOfficial You have crossed Guja…",0,11,Sun Jul 26 14:45:59 +0000 2020
6,1287398654660055040,"RT @iakshaysinghel: Didi always says that we are much better than Modi-Shah Gujarat.

Congratulations @MamataOfficial You have crossed Guja…",0,11,Sun Jul 26 14:45:32 +0000 2020
7,1287398492436959235,"RT @CPIM_WESTBENGAL: @MamataOfficial @mishra_surjya @timesofindia ~ @CPIM_WESTBENGAL has floated a helpline for non-#Covid_19 patients. 

S…",0,3,Sun Jul 26 14:44:53 +0000 2020
8,1287398131244515330,"#NarendraModi 
#MamataBanerjee 
করোনা পরীক্ষার জন্য কাল কলকাতা-সহ দেশের ৩ শহরে নতুন ল্যাব উদ্বোধন করবেন মোদি, ভা… https://t.co/6CNysPXIgH",8,0,Sun Jul 26 14:43:27 +0000 2020
9,1287398087074308097,"RT @iakshaysinghel: Didi always says that we are much better than Modi-Shah Gujarat.

Congratulations @MamataOfficial You have crossed Guja…",0,11,Sun Jul 26 14:43:17 +0000 2020
10,1287397503730556929,RT @SanganeriaKr: Despite all efforts no resolution plan could be implemented n Co was forced to liquidation in Jan18. Its now more than 2…,0,76,Sun Jul 26 14:40:58 +0000 2020
11,1287397418279907332,"Of the 39 reported Covid-19 positives in our society, 
33 fully cured
1 dead
3 admitted in Hospital
2 home quaranti… https://t.co/e952vIFUbW",0,0,Sun Jul 26 14:40:37 +0000 2020
