,tweet_id,text,favorite_count,retweet_count,created_at
0,1287255307463217158,RT @RajeshkumarSTo4: Now this is new to know about #Covid_19  infections causing weaken the organs too lets get more information about this…,0,1,Sun Jul 26 05:15:56 +0000 2020
1,1287255107231350784,"RT @RanaAyyub: Soon after recovering from COVID, Kader Shaikh started work to convert his 30,000 square feet office space at Shreyam comple…",0,1524,Sun Jul 26 05:15:08 +0000 2020
2,1287255019637501952,RT @AbdurRahman_IPS: #DrKafeelKhan must be free to fight #Covid_19 and save the life of young children. Detaining him under NSA is illegal…,0,556,Sun Jul 26 05:14:47 +0000 2020
3,1287254966021705730,"RT @BloombergQuint: India reports 48,661 new #Covid19 cases, 705 deaths and 36,145 recoveries in the last 24 hours.

Track #Coronavirus upd…",0,1,Sun Jul 26 05:14:34 +0000 2020
4,1287254937555132417,@ChavTarts After Compliments Chav Tarts. How are you and how is the present COVID-19 condition .Keep yourself and t… https://t.co/xGJ7GzsdWg,0,0,Sun Jul 26 05:14:27 +0000 2020
5,1287254872644083713,@ChavTarts After Compliments Chav Tarts. How are you and how is the present COVID-19 condition .Keep yourself and t… https://t.co/8DebsZ6MqI,0,0,Sun Jul 26 05:14:12 +0000 2020
6,1287254763885797376,RT @AbdurRahman_IPS: #DrKafeelKhan must be free to fight #Covid_19 and save the life of young children. Detaining him under NSA is illegal…,0,556,Sun Jul 26 05:13:46 +0000 2020
7,1287254534281203712,"RT @RanaAyyub: Soon after recovering from COVID, Kader Shaikh started work to convert his 30,000 square feet office space at Shreyam comple…",0,1524,Sun Jul 26 05:12:51 +0000 2020
8,1287254297797779456,Now this is new to know about #Covid_19  infections causing weaken the organs too lets get more information about t… https://t.co/EAipBYr4Hn,2,1,Sun Jul 26 05:11:55 +0000 2020
9,1287254222241533952,RT @AbdurRahman_IPS: #DrKafeelKhan must be free to fight #Covid_19 and save the life of young children. Detaining him under NSA is illegal…,0,556,Sun Jul 26 05:11:37 +0000 2020
10,1287253977189322754,"RT @firstpost: Total #COVID19 positive cases in #MaharashtraPolice stand at 8,483 including 1,919 active cases, 6,471 recoveries and 93 dea…",0,1,Sun Jul 26 05:10:38 +0000 2020
11,1287253953990672385,"Total #COVID19 positive cases in #MaharashtraPolice stand at 8,483 including 1,919 active cases, 6,471 recoveries a… https://t.co/xcR0JK1Yzy",2,1,Sun Jul 26 05:10:33 +0000 2020
12,1287253870683361280,"RT @moneycontrolcom: PM #NarendraModi will address the nation through '#MannKiBaat' at 11am 📻

#KargilVijayDivas #KargilWar #SundayMorning…",0,2,Sun Jul 26 05:10:13 +0000 2020
13,1287253847841243139,"PM #NarendraModi will address the nation through '#MannKiBaat' at 11am 📻

#KargilVijayDivas #KargilWar… https://t.co/XAO9UjuVZb",3,2,Sun Jul 26 05:10:08 +0000 2020
14,1287253776072675330,"Coronavirus in India: बीते 24 घंटे में Covid-19 के 48,661 नए मरीज, 705 की मौत https://t.co/RFCliFEzra",0,0,Sun Jul 26 05:09:50 +0000 2020
