Unnamed: 0,tweet_id,text,favorite_count,retweet_count,created_at,tweetos,text_lem,sentiment_compound_polarity,sentiment_neutral,sentiment_negative,sentiment_pos,sentiment_type
0,1.28726E+18,Why do Trump &amp; Modi get along so well? They were always bunking classes together.,0,0,Sun Jul 26 05:29:38 +0000 2020,other,Why do Trump  amp  Modi get along so well  They were always bunking classes together,0.4101,0.836,0,0.164,POSITIVE
2,1.28726E+18,"RIP DR JOGINDER CHAUDHARY, 27 YRS M, JUNIOR RESIDENT AT AMBEDKAR HOSPITAL, ROHINI DELHI, DIED OF COVID 19. With a…",0,0,Sun Jul 26 05:29:16 +0000 2020,other,RIP DR JOGINDER CHAUDHARY     YRS M  JUNIOR RESIDENT AT AMBEDKAR HOSPITAL  ROHINI DELHI  DIED OF COVID     With a,-0.6523,0.776,0.224,0,NEGATIVE
3,1.28726E+18,RT UN Report: Terror group ISIS has upto 200 members in Kerala and Karnataka; Al-Qaida wing for Indian subcontinent plannin…,0,6,Sun Jul 26 05:29:02 +0000 2020,other,UN Report  Terror group ISIS has upto     members in Kerala and Karnataka  Al Qaida wing for Indian subcontinent plannin,-0.5267,0.848,0.152,0,NEGATIVE
4,1.28726E+18,RT BJP's hunger for power weakened India's fight against COVID-19. The MoSha duo was busy in horse trading and mopping up…,0,32,Sun Jul 26 05:28:48 +0000 2020,other,BJP s hunger for power weakened India s fight against COVID     The MoSha duo was busy in horse trading and mopping up,-0.7096,0.723,0.277,0,NEGATIVE
5,1.28726E+18,"The most commonly reported symptoms of COVID-19 include fever, cough and shortness of breath. However, as the disea…",0,0,Sun Jul 26 05:28:46 +0000 2020,other,The most commonly reported symptoms of COVID    include fever  cough and shortness of breath  However  as the disea,0,1,0,0,NEUTRAL
6,1.28726E+18,RT Covid-19: High percentage of false negatives seeds suspicions about rapid antigen tests,0,8,Sun Jul 26 05:28:41 +0000 2020,other,Covid     High percentage of false negatives seeds suspicions about rapid antigen tests,-0.3612,0.828,0.172,0,NEGATIVE
7,1.28726E+18,RT Tracking #Covid_19 #CoronavirusOutbreak Live updates:,0,4,Sun Jul 26 05:28:40 +0000 2020,other,Tracking  Covid     CoronavirusOutbreak Live updates,0,1,0,0,NEUTRAL
8,1.28726E+18,RT COVID-19 Testing Update . For more details visit: #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpda…,0,107,Sun Jul 26 05:28:39 +0000 2020,other,COVID    Testing Update   For more details visit   ICMRFIGHTSCOVID    IndiaFightsCOVID    CoronaUpda,0,1,0,0,NEUTRAL
9,1.28726E+18,"To contain the spread of COVID-19, many De…",0,0,Sun Jul 26 05:28:36 +0000 2020,@cmohry,To contain the spread of COVID     many De,0,1,0,0,NEUTRAL
13,1.28726E+18,"RT India's largest *Cigarette company* organises webinar on *""Healthy Respiratory System"" during COVID-19 Chaired by AIIMS Dir…",0,15,Sun Jul 26 05:28:26 +0000 2020,other,India s largest  Cigarette company  organises webinar on   Healthy Respiratory System  during COVID    Chaired by AIIMS Dir,0.4019,0.856,0,0.144,POSITIVE
15,1.28726E+18,Multiplexes prepare for reopening in the hope of being allowed to resume services soon |,0,0,Sun Jul 26 05:28:24 +0000 2020,other,Multiplexes prepare for reopening in the hope of being allowed to resume services soon,0.4404,0.818,0,0.182,POSITIVE
16,1.28726E+18,RT PPE किट में झक्कास भांगड़ा इससे पहले नहीं देखें होंगे आप लोग 😂🤣 #CoronaWarriors #Covid_19,0,9,Sun Jul 26 05:28:07 +0000 2020,other,PPE                                                              CoronaWarriors  Covid,0,1,0,0,NEUTRAL
19,1.28726E+18,"""when I took my father to hospital they said he hv to get admittd in ICU immediately but they didnot admit till I p…",0,0,Sun Jul 26 05:27:55 +0000 2020,other,when I took my father to hospital they said he hv to get admittd in ICU immediately but they didnot admit till I p,0.296,0.901,0,0.099,POSITIVE
